@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute bass_x numeric
@attribute bass_y numeric
@attribute bass_vel_x numeric
@attribute bass_vel_y numeric
@attribute drone_x numeric
@attribute drone_y numeric
@attribute drone_vel_x numeric
@attribute drone_vel_y numeric
@attribute drums_x numeric
@attribute drums_y numeric
@attribute drums_vel_x numeric
@attribute drums_vel_y numeric
@attribute BassNoteClassifier {0,1,2,3,4,5}
@attribute BassXY numeric
@attribute BassVel numeric
@attribute BassFollow numeric
@attribute DroneNoteClassifier {0,1,2,3,4}
@attribute DroneXY numeric
@attribute DroneVel numeric
@attribute DroneFollow numeric
@attribute KickNoteClassifier {0,1,2,3,4,5}
@attribute SnareNoteClassifier {0,1,2,3,4,5}
@attribute HihatNoteClassifier {0,1,2,3,4,5}
@attribute SnareXY numeric
@attribute SnareVel numeric
@attribute HihatXY numeric
@attribute HihatVel numeric
@attribute DrumPitch numeric

@data
1,'2018/04/29 13:12:56:679',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2,'2018/04/29 13:12:56:795',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3,'2018/04/29 13:12:56:911',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4,'2018/04/29 13:12:57:027',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
5,'2018/04/29 13:12:57:143',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
6,'2018/04/29 13:12:57:259',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,'2018/04/29 13:12:57:376',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,'2018/04/29 13:12:57:491',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,'2018/04/29 13:12:57:607',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
10,'2018/04/29 13:12:57:723',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
11,'2018/04/29 13:12:57:839',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
12,'2018/04/29 13:12:57:955',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13,'2018/04/29 13:12:58:071',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,'2018/04/29 13:12:58:187',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,'2018/04/29 13:12:58:303',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
16,'2018/04/29 13:12:58:419',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
17,'2018/04/29 13:12:58:535',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
18,'2018/04/29 13:12:58:652',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
19,'2018/04/29 13:12:58:767',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
20,'2018/04/29 13:12:58:883',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
21,'2018/04/29 13:12:58:999',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
22,'2018/04/29 13:12:59:115',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
23,'2018/04/29 13:12:59:231',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
24,'2018/04/29 13:12:59:346',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
25,'2018/04/29 13:12:59:462',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
26,'2018/04/29 13:12:59:579',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
27,'2018/04/29 13:12:59:695',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
28,'2018/04/29 13:12:59:811',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
29,'2018/04/29 13:12:59:926',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
30,'2018/04/29 13:13:00:042',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
31,'2018/04/29 13:13:00:158',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
32,'2018/04/29 13:13:00:275',1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
33,'2018/04/29 13:13:00:391',1,0.5,0.475391,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
34,'2018/04/29 13:13:00:506',1,0.5,0.427302,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
35,'2018/04/29 13:13:00:622',1,0.5,0.420427,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
36,'2018/04/29 13:13:00:738',1,0.5,0.420025,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
37,'2018/04/29 13:13:00:855',1,0.5,0.420002,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
38,'2018/04/29 13:13:00:971',1,0.5,0.42,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
39,'2018/04/29 13:13:01:086',1,0.5,0.42,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
40,'2018/04/29 13:13:01:202',1,0.5,0.42,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
41,'2018/04/29 13:13:01:303',1,0.5,0.42,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
42,'2018/04/29 13:13:01:419',1,0.5,0.416667,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
43,'2018/04/29 13:13:01:535',1,0.5,0.366257,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
44,'2018/04/29 13:13:01:651',1,0.5,0.350952,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
45,'2018/04/29 13:13:01:766',1,0.5,0.350056,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
46,'2018/04/29 13:13:01:883',1,0.494444,0.350003,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
47,'2018/04/29 13:13:01:998',1,0.444645,0.35,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
48,'2018/04/29 13:13:02:115',1,0.430857,0.35,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
